b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27
1,1,0_15,Luyinjayinja,black,stony_sandy,6,no,6.29,60,22.6,249,881,1420,33.2,18,993,199,10,2.81,0.57,6.07,0.001,.,47,37,16
1,1,15_30,Luyinjayinja,black,.,6.6,no,6.26,37,54.7,213,762,1200,34.2,15.5,1090,174,10.3,2.27,0.32,4.38,0.001,.,49,33,18
1,2,0_15,Lidugavu,black,.,7.1,no,6.91,75,21.1,229,851,2110,25.1,19.4,923,292,9.03,2.91,0.72,3.75,0.001,.,60,26,14
1,2,15_30,Lidugavu,black,.,7.1,no,6.83,71,19.1,165,743,1780,24.1,16.8,1000,285,7.71,2.87,0.53,2.77,0.001,.,62,28,10
2,1,0_15,Limyufumyufu,red,.,6.8,no,5.54,51,5.32,44.6,651,1020,33.6,16.6,1330,231,10.4,3,0.24,1.67,0.068,.,49,40,11
2,1,15_30,Limyufumyufu,red,.,6.4,no,5.33,34,3.06,33.7,467,667,32.3,12.8,1460,212,10,2.87,0.15,1.44,0.33,.,44,45,11
2,2,0_15,Limyufumyufu,red,.,5.6,no,5.02,43,3.62,57,205,384,34.2,8.13,1410,153,13,2.74,0.096,0.92,1.2,.,52,36,12
2,2,15_30,Limyufumyufu,red,.,5.9,no,5,24,1.99,31.3,150,316,31.6,6.4,1430,151,11,2.7,0.062,0.78,1.63,.,41,46,13
3,1,0_15,Lidugavu,black,.,6.4,no,5.68,103,8.83,103,874,1540,31.3,22.1,1120,238,13.5,2.52,0.44,3.02,0.001,.,45,40,15
3,1,15_30,Lidugavu,black,.,6.6,no,5.72,114,8.94,89.9,909,1560,34.3,22.3,1050,184,12.6,2.2,0.42,2.18,0.001,.,48,40,12
4,1,0_15,Lidugavu,black,.,6.8,no,6.22,84,9.15,55.1,806,1800,20.1,19.1,919,404,10.5,3.31,0.55,2.52,0.01,.,53,28,19
4,1,15_30,Lidugavu,black,.,6.7,no,5.87,105,6.69,58.6,886,1710,58.8,21.6,1010,345,16.5,3.67,0.42,2.33,0.001,.,55,32,13
5,1,0_15,Luyinjayinja,.,stony_sandy,6.3,no,5.13,32,2.24,32.1,388,515,49.7,11.7,1440,7.46,8.83,0.22,0.002,2.18,1.68,.,66,22,12
5,1,15_30,Luyinjayinja,.,stony_sandy,5.7,no,5.11,24,4.79,96,205,281,25.1,6.78,949,65.2,11.8,1.78,0.027,0.94,0.74,.,57,29,15
5,2,0_15,Lubumbabumba,.,clay_aquic,5,no,4.76,23,3.06,33.1,151,255,24.1,6.43,1130,46.2,13.6,2.56,0.002,0.98,1.61,.,57,21,22
5,2,15_30,Lubumbabumba,.,clay_aquic,5,no,5.14,37,2.72,46.7,390,581,52.7,12.4,1340,13.5,10.5,0.57,0.002,2.68,1.13,.,52,24,24
5,3,0_15,Limyufumyufu,reddish,.,6.4,no,6.15,46,7.16,123,543,941,18.6,11.7,821,148,8.81,3.49,0.12,2.06,0.013,.,59,31,10
5,3,15_30,Limyufumyufu,reddish,.,6.3,no,5.75,52,5.12,111,534,842,30.6,12.6,917,119,12,3.62,0.091,2.06,0.001,.,57,31,12
6,.,.,pottedsoil_manure,.,.,7.4,.,7.72,724,1240,2190,982,4190,73.7,36.4,712,233,49.7,3.83,1.83,36.3,0.001,.,56,28,16
6,2,0_15,Lidugavu,black,.,6.7,no,6.75,123,198,385,851,2960,36,25.1,804,306,11.9,4.25,1.14,13.5,0.001,.,50,34,16
6,2,15_30,Lidugavu,black,.,6.8,no,6.83,61,183,344,1380,3000,30.3,29.6,869,314,11.8,4.2,1.06,11.8,0.001,.,49,34,17
7,1,0_15,Lidugavu,black,maize,6.4,no,6.6,108,56.1,370,985,2310,22.6,23.3,969,235,12.5,3.33,0.97,13.6,0.001,.,55,32,13
7,1,15_30,Lidugavu,black,maize,6.6,no,6.57,65,42.7,280,848,2060,27,20.5,1070,227,13.6,3.58,1.62,14.4,0.001,.,61,31,8
7,2,0_15,Lidugavu,black,coffee,6.3,no,6.28,32,69.4,154,780,1930,38.5,19.8,966,199,8.82,3.66,0.51,18.8,0.018,.,60,29,11
7,2,15_30,Lidugavu,black,coffee,6.4,no,6.44,33,61,152,880,2040,26.5,20.8,1030,192,8.78,3.33,0.41,9.01,0.001,.,55,35,10
7,3,0_15,Luyinjayinja,.,stony_sandy,6.5,no,6.48,24,15,279,636,1200,27.5,13.9,963,215,8.01,3.37,0.36,19.6,0.001,.,55,27,18
7,3,15_30,Luyinjayinja,.,stony_sandy,6.5,yes,6.01,24,5.83,135,524,962,23.1,12,995,191,7.41,3.54,0.22,9.83,0.001,.,63,29,8
8,1,0_15,Lunyu,.,salty,6.8,no,6.89,61,161,352,1070,2990,25.3,26.5,992,228,8.38,4.2,1.07,18.3,0.001,.,65,20,15
8,1,15_30,Lunyu,.,salty,6.9,no,6.69,55,109,196,1090,2700,25.6,25.5,1060,147,7.25,3.64,0.74,6.83,0.001,.,63,24,13
